communityname,state,countyCode,communityCode,autoTheftPerPop,PctKidsBornNeverMar,PctKids2Par,PctFam2Par,PctTeen2Par,PctRecImmig10,PctPersDenseHous,PctForeignBorn,PctRecImmig8,PopDens,PctHousLess3BR,PctRecImmig5,FemalePctDiv,PctNotSpeakEnglWell,PctPersOwnOccup,PctRecentImmig,TotalPctDiv,PctSpeakEnglOnly,PctYoungKids2Par,pctWPubAsst,PctLargHouseFam,PctHousOwnOcc,pctWInvInc,MalePctDivorce,PctUnemployed,PctVacantBoarded,MedNumBR,PctUsePubTrans,RacialMatchCommPol,PctNotHSGrad,LemasPctOfficDrugUn
BerkeleyHeightstownship,NJ,39,5320,131.26,0.36,90.17,91.43,95.81,3.3,0.39,10.66,2.24,1845.9,11.06,1.39,5.22,1.37,91.46,0.93,4.47,85.68,95.78,1.03,4.81,91.01,70.2,3.67,2.7,3.12,3,9.63,,9.9,0
Marpletownship,PA,45,47616,110.55,0.24,85.33,86.91,86.46,1.87,1.01,8.3,1.11,2186.7,23.6,0.72,6.45,1.81,89.03,0.43,5.42,87.79,96.82,2.75,4.25,84.88,64.11,4.23,2.43,0,3,3.84,,13.72,0
Tigardcity,OR,,,376.3,0.88,78.85,78.54,75.72,1.78,2.03,5,1.61,2780.9,47.46,1.2,14.76,1.14,64.18,0.82,12.55,93.11,92.37,2.94,2.97,57.79,55.73,10.1,4.01,0.92,3,4.37,,9.09,0
Gloversvillecity,NY,35,29443,271.93,3.84,62.36,64.02,67.43,0.31,1.21,2.04,0.31,3217.7,45.66,0.28,14.47,0.56,58.18,0.28,12.91,94.98,65.38,11.71,3.93,54.89,38.95,10.98,9.86,2.54,3,3.31,,33.68,0
Bemidjicity,MN,7,5068,728.93,4.7,55.2,58.59,79.17,1.22,2.94,1.74,1.18,974.2,55.64,0.98,11.64,0.39,58.13,0.82,9.73,94.64,66.51,11.21,5.23,53.57,42.82,7.51,9.08,3.9,2,0.38,,23.06,0
Springfieldcity,MO,,,300.6,1.58,69.79,71.94,75.33,0.68,2.11,1.49,0.57,1995.7,53.19,0.45,14.46,0.6,57.81,0.32,13.04,96.87,79.76,7.12,3.08,55.5,41.15,11.4,5.72,2.09,2,0.97,,23.03,0
Norwoodtown,MA,21,50250,487.1,1.18,79.76,79.53,77.12,2.55,1.47,9.19,2.2,2643.5,47.35,1.49,9.06,0.6,64.62,1.05,7.64,89.98,92.05,5.41,5.08,56.96,47.7,5.97,4.85,1.41,3,9.62,,13.89,0
Andersoncity,IN,,,205.1,4.66,58.7,62.56,62.76,0.29,1.9,0.87,0.25,1515.3,56.3,0.2,16.33,0.28,65.29,0.11,14.94,97.43,69.89,8.81,3.85,63.82,35.74,13.28,8.19,6.39,2,0.7,,28.67,0
Fargocity,ND,17,25700,258.18,1.64,79.7,79.35,80.7,1.07,1.67,1.99,0.93,2399.3,59.32,0.67,9.94,0.43,57.42,0.47,8.64,95.21,86.6,4.21,2.59,48.1,47.11,7.29,4.18,0.45,2,1.41,,11.27,0
Wacocity,TX,,,991.8,4.71,54.56,61.65,61.69,2.31,6.14,4.63,1.63,1319.3,59.96,1.07,14.66,2.51,46.82,0.72,12.97,85.72,68.85,9.06,6.7,46.51,30.98,11.07,8.39,5.64,2,0.76,89.32,31.62,6.57
