DateTime	Total New Zealand	Auckland	Waikato	Wellington	Canterbury	Rest of North Island	Rest of South Island
2001-01-01 00:00:00	1549	579	158	171	184	295	142
2001-02-01 00:00:00	1585	584	160	171	185	297	145
2001-03-01 00:00:00	1625	596	164	171	189	302	149
2001-03-31 23:00:00	1663	615	168	172	193	306	156
2001-05-01 00:00:00	1688	636	173	172	199	310	163
2001-06-01 00:00:00	1708	658	177	170	203	312	171
2001-07-01 00:00:00	1728	679	180	167	206	312	177
2001-08-01 00:00:00	1745	697	182	162	208	311	183
2001-09-01 00:00:00	1757	713	183	156	208	309	186
2001-09-30 23:00:00	1767	729	182	149	209	307	188
2001-11-01 00:00:00	1783	747	180	143	210	307	190
2001-12-01 00:00:00	1813	767	179	137	214	309	191
2002-01-01 00:00:00	1856	792	178	135	219	315	193
2002-02-01 00:00:00	1917	821	179	136	228	324	198
2002-03-01 00:00:00	1993	855	181	143	238	335	203
2002-03-31 23:00:00	2065	891	186	154	250	347	211
2002-05-01 00:00:00	2133	927	191	169	262	358	218
2002-06-01 00:00:00	2183	960	196	185	273	368	226
2002-07-01 00:00:00	2224	985	202	199	283	375	232
2002-08-01 00:00:00	2273	1000	207	210	289	379	237
2002-09-01 00:00:00	2319	1002	210	217	294	380	240
2002-09-30 23:00:00	2346	990	213	219	296	379	242
2002-11-01 00:00:00	2349	969	215	217	298	379	243
2002-12-01 00:00:00	2334	943	218	211	301	380	244
2003-01-01 00:00:00	2317	920	221	203	305	384	246
2003-02-01 00:00:00	2306	903	227	193	311	392	250
2003-03-01 00:00:00	2310	892	236	184	320	405	256
2003-03-31 23:00:00	2355	891	246	178	331	420	264
2003-05-01 00:00:00	2420	898	259	175	341	436	272
2003-06-01 00:00:00	2497	917	271	176	351	451	281
2003-07-01 00:00:00	2564	943	284	180	359	465	288
2003-08-01 00:00:00	2606	972	295	184	365	475	295
2003-09-01 00:00:00	2643	1005	304	190	368	482	299
2003-09-30 23:00:00	2680	1036	310	196	369	485	301
2003-11-01 00:00:00	2708	1062	314	201	370	485	300
2003-12-01 00:00:00	2734	1076	314	205	370	482	298
2004-01-01 00:00:00	2756	1079	313	207	371	479	294
2004-02-01 00:00:00	2768	1072	311	209	374	475	289
2004-03-01 00:00:00	2759	1059	309	210	377	473	284
2004-03-31 23:00:00	2699	1039	305	210	381	471	279
2004-05-01 00:00:00	2604	1018	300	207	385	470	274
2004-06-01 00:00:00	2503	997	295	202	386	471	268
2004-07-01 00:00:00	2412	976	290	195	386	472	261
2004-08-01 00:00:00	2357	955	284	187	382	472	255
2004-09-01 00:00:00	2337	930	278	177	376	471	248
2004-09-30 23:00:00	2346	903	271	166	367	469	242
2004-11-01 00:00:00	2366	873	265	155	356	466	236
2004-12-01 00:00:00	2361	839	259	145	345	464	232
2005-01-01 00:00:00	2319	801	256	136	335	463	229
2005-02-01 00:00:00	2247	759	256	131	327	465	230
2005-03-01 00:00:00	2172	714	257	129	321	471	231
2005-03-31 23:00:00	2118	669	260	132	318	478	234
2005-05-01 00:00:00	2088	629	264	137	317	487	238
2005-06-01 00:00:00	2064	595	267	144	318	497	242
2005-07-01 00:00:00	2052	571	268	150	321	507	244
2005-08-01 00:00:00	2051	559	268	157	324	516	246
2005-09-01 00:00:00	2067	556	267	163	328	522	245
2005-09-30 23:00:00	2102	559	264	167	331	526	242
2005-11-01 00:00:00	2145	562	259	169	335	526	238
2005-12-01 00:00:00	2184	565	256	168	338	523	234
